,Player Name,Average,Matches
0,G C Smith*,154.54545454545453,11
1,H M Amla,282.17821782178214,101
2,C A Ingram,138.88888888888889,18
3,A B de Villiers,216.66666666666666,6
4,J-P Duminy,157.4468085106383,94
5,D A Miller,162.19512195121953,82
6,J Botha,54.54545454545454,11
7,W D Parnell,44.827586206896555,29
8,D W Steyn,26.666666666666668,30
9,M Morkel,16.666666666666664,24
10,L L Tsotsobe,6.666666666666667,15
11,M Vijay,85.71428571428571,7
12,S R Tendulkar,275.0,12
13,V Kohli,251.94805194805195,77
14,R G Sharma,279.4117647058823,102
15,Yuvraj Singh,168.0,25
16,M S Dhoni*,220.96774193548384,62
17,S K Raina,182.53968253968253,63
18,Harbhajan Singh,16.666666666666664,12
19,Z Khan,11.11111111111111,9
20,A Nehra,0.0,5
21,M M Patel,0.0,7
22,A J Strauss*,208.33333333333334,12
23,S M Davies,200.0,1
24,I J L Trott,286.4864864864865,37
25,K P Pietersen,212.5,24
26,I R Bell,216.98113207547172,53
27,E J G Morgan,140.4255319148936,47
28,M H Yardy,42.857142857142854,7
29,T T Bresnan,53.57142857142857,28
30,G P Swann,28.57142857142857,14
31,Ajmal Shahzad,0.0,7
32,C T Tremlett,0.0,5
33,S R Watson,221.27659574468086,47
34,B J Haddin,121.95121951219512,41
35,M J Clarke*,226.19047619047618,42
36,S P D Smith,187.80487804878047,41
37,M E K Hussey,151.85185185185185,27
38,C L White,69.23076923076923,13
39,D J Hussey,158.8235294117647,34
40,F du Plessis,216.04938271604937,81
41,Y K Pathan,150.0,10
42,S E Marsh,200.0,30
43,N M Hauritz,0.0,1
44,B Lee,38.46153846153847,13
45,D E Bollinger,100.0,2
46,S W Tait,0.0,2
47,M J Prior,72.72727272727273,11
48,J C Tredwell,18.75,16
49,M N van Wyk,200.0,2
50,R J Peterson,71.42857142857143,21
51,Kamran Akmal,110.00000000000001,20
52,Mohammad Hafeez,206.73076923076925,104
53,Younis Khan,141.93548387096774,31
54,Asad Shafiq,125.0,32
55,Misbah-ul-Haq,216.66666666666666,12
56,Umar Akmal,151.42857142857142,35
57,Shahid Afridi*,92.3076923076923,13
58,Abdul Razzaq,11.11111111111111,9
59,Abdur Rehman,11.11111111111111,9
60,Sohail Tanvir,15.384615384615385,13
61,Shoaib Akhtar,0.0,1
62,M J Guptill,211.11111111111111,108
63,J D Ryder,217.6470588235294,17
64,L R P L Taylor,280.6451612903226,93
65,S B Styris,125.0,8
66,P D Collingwood,42.857142857142854,7
67,L J Wright,100.0,5
68,C R Woakes,72.0,50
69,J W Hastings,66.66666666666666,15
70,P A Patel,122.22222222222223,9
71,P P Chawla,0.0,2
72,J M Anderson,7.6923076923076925,13
73,Ahmed Shehzad,193.75,48
74,Wahab Riaz,52.63157894736842,38
75,Umar Gul,31.25,16
76,M G Johnson,31.428571428571427,35
