,Player Name,Average,Matches
0,A N Petersen,206.97674418604652,43
1,G C Smith*,216.27906976744185,43
2,H M Amla,208.82352941176472,102
3,J H Kallis,235.13513513513513,37
4,A B de Villiers,261.9047619047619,42
5,A G Prince,111.11111111111111,9
6,M V Boucher,92.85714285714286,14
7,D W Steyn,43.83561643835616,73
8,M Morkel,21.428571428571427,84
9,P L Harris,0.0,2
10,L L Tsotsobe,0.0,2
11,G Gambhir,246.42857142857144,28
12,V Sehwag,220.00000000000003,25
13,R Dravid,238.0952380952381,21
14,S R Tendulkar,275.75757575757575,33
15,V V S Laxman,190.47619047619045,21
16,C A Pujara,298.1132075471698,106
17,M S Dhoni*,237.28813559322032,59
18,Harbhajan Singh,50.0,18
19,Z Khan,39.130434782608695,23
20,I Sharma,18.6046511627907,86
21,S Sreesanth,0.0,5
22,S R Watson,185.45454545454544,55
23,P J Hughes,261.2903225806451,31
24,U T Khawaja,155.07246376811594,69
25,M J Clarke*,297.40259740259745,77
26,M E K Hussey,232.3529411764706,34
27,B J Haddin,129.82456140350877,57
28,S P D Smith,330.90909090909093,55
29,M G Johnson,115.38461538461537,52
30,P M Siddle,58.333333333333336,72
31,B W Hilfenhaus,100.0,13
32,M A Beer,0.0,4
33,A J Strauss*,276.6666666666667,30
34,A N Cook,300.0,61
35,I J L Trott,194.82758620689654,58
36,K P Pietersen,285.18518518518516,54
37,J M Anderson,19.863013698630137,146
38,P D Collingwood,0.0,1
39,I R Bell,208.79120879120882,91
40,M J Prior,138.0952380952381,63
41,T T Bresnan,56.52173913043478,23
42,G P Swann,70.2127659574468,47
43,C T Tremlett,12.5,8
44,T G McIntosh,0.0,2
45,B B McCullum,151.85185185185185,27
46,M J Guptill,209.43396226415098,53
47,L R P L Taylor,310.3448275862069,87
48,J D Ryder,150.0,8
49,K S Williamson,285.33333333333337,75
50,R A Young,70.0,10
51,D L Vettori*,200.0,4
52,T G Southee,73.95833333333334,96
53,B J Arnel,50.0,6
54,C S Martin,5.263157894736842,19
55,Mohammad Hafeez,233.80281690140845,71
56,Taufeeq Umar,225.80645161290326,31
57,Azhar Ali,282.3008849557522,113
58,Younis Khan,281.52173913043475,92
59,Misbah-ul-Haq*,270.96774193548384,93
60,Asad Shafiq,202.4193548387097,124
61,Adnan Akmal,100.0,34
62,Abdur Rehman,59.375,32
63,Umar Gul,48.148148148148145,27
64,Tanvir Ahmed,175.0,8
65,Wahab Riaz,26.31578947368421,38
66,J E C Franklin,111.11111111111111,9
67,D S Smith,78.57142857142857,14
68,L M P Simmons,50.0,8
69,D M Bravo,148.0,75
70,R R Sarwan,62.5,8
71,S Chanderpaul,312.962962962963,54
72,B P Nash,0.0,6
73,C S Baugh,109.09090909090908,22
74,D J G Sammy*,109.30232558139534,43
75,K A J Roach,38.23529411764706,68
76,R Rampaul,47.61904761904761,21
77,D Bishoo,51.85185185185185,54
78,Umar Akmal,150.0,6
79,Mohammad Salman,0.0,4
80,Saeed Ajmal,26.666666666666668,45
81,K C Brathwaite,241.02564102564102,78
82,M N Samuels,262.5,56
83,N T Paranavitana,176.9230769230769,26
84,T M Dilshan*,264.70588235294116,17
85,K C Sangakkara,319.3548387096774,62
86,D P M D Jayawardene,311.7647058823529,34
87,T T Samaraweera,203.70370370370372,27
88,H A P W Jayawardene,97.22222222222221,36
89,M F Maharoof,33.33333333333333,3
90,N L T C Perera,200.0,8
91,H M R K B Herath,53.333333333333336,105
92,B A W Mendis,33.33333333333333,3
93,R A S Lakmal,24.705882352941178,85
94,E J G Morgan,140.0,15
95,S C J Broad,57.692307692307686,156
96,S T Finn,30.23255813953488,43
97,C R D Fernando,33.33333333333333,9
98,U W M B C A Welegedara,30.434782608695656,23
99,H D R L Thirimanne,118.18181818181819,55
100,K C Sangakkara*,0.0,1
101,A Mukund,145.45454545454547,11
102,M Vijay,237.17948717948718,78
103,V Kohli,243.13725490196077,51
104,S K Raina,183.33333333333331,12
105,P Kumar,44.44444444444444,9
106,A Mishra,33.33333333333333,15
107,A B Barath,226.3157894736842,19
108,F H Edwards,15.789473684210526,19
109,A Mithun,0.0,2
110,K O A Powell,171.42857142857142,63
111,K A Edwards,204.0,25
112,M M Patel,0.0,2
113,Yuvraj Singh,210.0,10
114,T M K Mawoyo,211.76470588235296,17
115,V Sibanda,138.0952380952381,21
116,H Masakadza,261.7647058823529,34
117,B R M Taylor*,250.0,22
118,C R Ervine,179.16666666666669,24
119,T Taibu,300.0,4
120,E Chigumbura,206.25,16
121,R W Price,12.5,8
122,K M Jarvis,5.88235294117647,17
123,B V Vitori,33.33333333333333,6
124,C B Mpofu,0.0,16
125,Tamim Iqbal,239.2156862745098,51
126,Imrul Kayes,104.0,25
127,Shahriar Nafees,180.0,10
128,Mohammad Ashraful,244.44444444444446,9
129,Mahmudullah,150.0,38
130,Shakib Al Hasan*,200.0,9
131,Mushfiqur Rahim,314.2857142857143,7
132,Abdur Razzak,0.0,8
133,Shafiul Islam,12.5,8
134,Rubel Hossain,37.03703703703704,27
135,Robiul Islam,33.33333333333333,15
136,R S Bopara,100.0,3
137,R T Ponting,203.70370370370372,27
138,R J Harris,80.0,35
139,T A Copeland,0.0,4
140,N M Lyon,44.52554744525548,137
141,A D Mathews,214.28571428571428,56
142,S Randiv,33.33333333333333,15
143,G A Lamb,200.0,2
144,Sohail Khan,92.3076923076923,13
145,Junaid Khan,11.11111111111111,36
146,Aizaz Cheema,0.0,8
147,S Prasanna,0.0,1
148,S E Marsh,275.40983606557376,61
149,R M S Eranga,7.142857142857142,28
150,N Pradeep,2.127659574468085,47
151,J K Silva,166.66666666666669,6
152,K T G D Prasad,100.0,32
153,Raqibul Hasan,0.0,2
154,Mushfiqur Rahim*,241.66666666666666,36
155,Shakib Al Hasan,272.97297297297297,37
156,Naeem Islam,233.33333333333334,3
157,Nasir Hossain,186.95652173913044,23
158,Suhrawadi Shuvo,100.0,2
159,Shahadat Hossain,33.33333333333333,9
160,L R P L Taylor*,248.0,25
161,B J Watling,100.0,6
162,D G Brownlie,138.0952380952381,21
163,D L Vettori,208.33333333333334,12
164,D A J Bracewell,95.1219512195122,41
165,J S Patel,70.58823529411765,17
166,T Taibu,100.0,2
167,M N Waller,148.0,25
168,R W Chakabva,183.33333333333331,18
169,N Ncube,0.0,2
170,C K B Kulasekara,50.0,2
171,R Ashwin,130.9278350515464,97
172,P P Ojha,5.263157894736842,19
173,U T Yadav,18.51851851851852,54
174,J A Rudolph,180.0,20
175,V D Philander,86.86868686868688,99
176,Imran Tahir,17.24137931034483,29
177,P J Cummins,81.81818181818183,44
178,V R Aaron,25.0,12
179,D A Warner,254.81481481481484,135
180,J L Pattinson,67.85714285714286,28
181,M A Starc,77.77777777777779,81
182,Nazimuddin,250.0,4
183,Elias Sunny,33.33333333333333,3
184,T A Boult,32.967032967032964,91
185,Nazmul Hossain,0.0,2
186,E J M Cowan,227.58620689655174,29
187,L D Chandimal,210.0,40
188,M de Lange,0.0,2
189,R Vinay Kumar,100.0,2
190,M S Panesar,5.0,20
191,B J Watling,207.95454545454547,88
192,R J Nicol,0.0,4
193,C F van Wyk,187.5,16
194,M R Gillespie,50.0,2
195,J-P Duminy,173.0769230769231,52
196,T M Dilshan,113.33333333333333,15
197,D P M D Jayawardene*,318.75,16
198,L D Chandimal,208.33333333333334,24
199,S R Patel,120.0,10
200,N Deonarine,141.1764705882353,17
201,M S Wade,210.81081081081078,37
202,S Shillingford,52.94117647058824,17
203,D Ramdin,222.22222222222223,27
204,S T Gabriel,15.625,64
205,J M Bairstow,181.57894736842107,38
206,A B Fudadin,140.0,5
207,S P Narine,0.0,8
208,T L Best,114.28571428571428,14
209,K M D N Kulasekara,50.0,12
210,Mohammad Hafeez*,100.0,2
211,Mohammad Ayub,100.0,2
212,Mohammad Sami,50.0,2
213,A B de Villiers,365.625,32
214,D R Flynn,345.45454545454544,11
215,N Wagner,41.7910447761194,67
216,C H Gayle,244.44444444444446,18
217,J W A Taylor,153.84615384615387,13
218,R K Kleinveldt,80.0,5
219,F D M Karunaratne,196.9387755102041,98
220,Sohag Gazi,166.66666666666669,12
221,Abul Hasan,233.33333333333334,3
222,V Permaul,42.857142857142854,7
223,R J Quiney,0.0,2
224,F du Plessis,181.8181818181818,44
225,A N Cook*,233.69565217391303,92
226,N R D Compton,126.92307692307692,26
227,T D Astle,40.0,5
228,D Elgar,176.8421052631579,95
229,R J Peterson,166.66666666666669,15
230,J W Hastings,300.0,2
231,J E Root,311.6279069767442,86
232,R A Jadeja,161.19402985074626,67
233,P P Chawla,0.0,1
234,J M Bird,7.142857142857142,14
235,B B McCullum*,282.97872340425533,47
236,Nasir Jamshed,25.0,4
237,Sarfaraz Ahmed,212.5,56
238,Rahat Ali,23.52941176470588,34
239,Mohammad Irfan,0.0,8
240,M C Henriques,62.5,8
241,B Kumar,83.33333333333334,30
242,K J Abbott,33.33333333333333,15
243,Imran Farhat,200.0,2
244,Ehsan Adil,0.0,6
245,G J Maxwell,141.66666666666669,12
246,X J Doherty,0.0,4
247,P G Fulton,133.33333333333331,21
248,H D Rutherford,110.71428571428572,28
249,B P Martin,44.44444444444444,9
250,A D Mathews*,201.72413793103448,58
251,A G Cremer,57.14285714285714,7
252,T L Chatara,13.333333333333334,15
253,S Dhawan,238.0,50
254,Jahurul Islam,116.66666666666667,6
255,Mominul Haque,280.9523809523809,42
256,K D K Vithanage,114.28571428571428,14
257,B R M Taylor*,200.0,1
258,S C Williams,150.0,14
259,P Utseya,80.0,5
260,S R Watson*,50.0,2
261,A M Rahane,230.3370786516854,89
262,T Maruma,66.66666666666666,3
263,R Mutumbami,50.0,12
264,K O Meth,50.0,4
265,S W Masakadza,75.0,8
266,Enamul Haque,0.0,2
267,Ziaur Rahman,0.0,2
268,Sajidul Islam,0.0,2
269,R W Chakabva,216.66666666666666,6
270,B B McCullum*,100.0,2
271,C J L Rogers,227.5,40
272,A C Agar,125.0,8
273,J P Faulkner,150.0,2
274,C R Woakes,126.92307692307692,52
275,S C Kerrigan,0.0,2
276,Khurram Manzoor,323.5294117647059,17
277,H Masakadza*,125.0,4
278,Sikandar Raza,205.55555555555554,18
279,T Panyangara,50.0,12
280,C J Anderson,200.0,20
281,I S Sodhi,80.95238095238095,21
282,Anamul Haque,0.0,6
283,Marshall Ayub,160.0,5
284,Shan Masood,193.75,32
285,Zulfiqar Babar,33.33333333333333,24
286,Al-Amin Hossain,0.0,7
287,S S Cottrell,0.0,2
288,R G Sharma,261.53846153846155,39
289,Mohammed Shami,33.87096774193548,62
290,G J Bailey,50.0,10
291,M A Carberry,180.0,10
292,A J Redmond,100.0,1
293,B A Stokes,190.29126213592232,103
294,J M Bairstow,209.21052631578948,76
295,J K Silva,211.47540983606555,61
296,S M S M Senanayake,0.0,2
297,Ahmed Shehzad,308.69565217391306,23
298,Bilawal Bhatti,25.0,4
299,G S Ballance,297.2972972972973,37
300,S G Borthwick,50.0,2
301,W B Rankin,33.33333333333333,6
302,M D K Perera,108.06451612903226,62
303,Mohammad Talha,80.0,5
304,Shamsur Rahman,42.857142857142854,7
305,A J Doolan,42.857142857142854,7
306,R McLaren,0.0,2
307,T W M Latham,211.84210526315786,76
308,J D S Neesham,256.25,16
309,Q de Kock,25.0,4
310,W D Parnell,66.66666666666666,3
311,S D Robson,190.0,10
312,M M Ali,163.44086021505376,93
313,C J Jordan,66.66666666666666,12
314,L E Plunkett,71.42857142857143,7
315,M D Craig,69.56521739130434,23
316,S J Benn,10.0,10
317,J Blackwood,165.71428571428572,35
318,D Ramdin*,105.88235294117648,17
319,J E Taylor,40.0,20
320,J O Holder,83.33333333333334,12
321,S T R Binny,75.0,8
322,H M Amla*,250.0,20
323,Q de Kock,246.4788732394366,71
324,W U Tharanga,207.6923076923077,26
325,N Dickwella,162.0,50
326,J C Buttler,103.03030303030303,33
327,Pankaj Singh,0.0,2
328,M A Vermeulen,0.0,2
329,D T Tiripano,170.0,10
330,J Nyumbu,50.0,4
331,D L Piedt,9.090909090909092,11
332,L R Johnson,150.0,10
333,Taijul Islam,45.714285714285715,35
334,Yasir Shah,55.00000000000001,60
335,Imran Khan,0.0,10
336,M R Marsh,100.0,48
337,S N J O'Keefe,26.666666666666668,15
338,T Kamungozi,0.0,2
339,Shuvagata Hom,150.0,10
340,Jubair Hossain,0.0,7
341,B B Chari,109.09090909090908,11
342,N M'shangwe,0.0,4
343,S van Zyl,168.75,16
344,S P D Smith*,420.0,55
345,J R Hazlewood,20.588235294117645,68
346,N Dickwella,0.0,3
347,P H T Kaushal,36.36363636363637,11
348,T Bavuma,165.07936507936506,63
349,J A Burns,180.0,30
350,K L Rahul,166.66666666666669,51
351,S R Harmer,0.0,8
352,J C Tredwell,0.0,2
353,Soumya Sarkar,300.0,17
