,Player Name,Average,Matches
508,Asad Ali,371.9298245614035,57
670,Mohammad Tauqir*,296.2962962962963,54
275,K C Sangakkara,296.0526315789474,76
411,Nazmul Hossain,288.88888888888886,54
1,H M Amla,282.17821782178214,101
64,L R P L Taylor,280.6451612903226,93
14,R G Sharma,279.4117647058823,102
339,Shakib Al Hasan,278.40909090909093,88
80,K S Williamson,274.5098039215686,51
448,A B Dinda,269.64285714285717,56
246,S Dhawan,263.04347826086956,92
443,Mominul Haque,262.10526315789474,95
97,T M Dilshan,259.49367088607596,79
13,V Kohli,251.94805194805195,77
449,A J Finch,236.046511627907,86
147,Tamim Iqbal,232.50000000000003,80
150,Mushfiqur Rahim,228.8135593220339,59
16,M S Dhoni*,220.96774193548384,62
99,D P M D Jayawardene,220.96774193548384,62
314,J W A Taylor,220.00000000000003,70
