,Player Name,Average,Matches
344,S P D Smith*,420.0,55
28,S P D Smith,330.90909090909093,55
363,V Kohli*,329.16666666666663,72
85,K C Sangakkara,319.3548387096774,62
71,S Chanderpaul,312.962962962963,54
231,J E Root,311.6279069767442,86
47,L R P L Taylor,310.3448275862069,87
34,A N Cook,300.0,61
16,C A Pujara,298.1132075471698,106
25,M J Clarke*,297.40259740259745,77
49,K S Williamson,285.33333333333337,75
36,K P Pietersen,285.18518518518516,54
57,Azhar Ali,282.3008849557522,113
58,Younis Khan,281.52173913043475,92
148,S E Marsh,275.40983606557376,61
59,Misbah-ul-Haq*,270.96774193548384,93
82,M N Samuels,262.5,56
179,D A Warner,254.81481481481484,135
323,Q de Kock,246.4788732394366,71
103,V Kohli,243.13725490196077,51
